英雄,胜率,出场率,输出占比,承伤占比,分均经济,拿牌率,前期胜率,中期胜率,后期胜率
敖隐,50.5%,11.3%,23.9%,17.0%,698,25.5%,54.0%,50.0%,48.9%
马超,51.0%,16.6%,21.4%,20.2%,790,27.3%,50.9%,50.7%,47.6%
少司缘,53.5%,29.1%,12.7%,23.0%,584,38.7%,52.7%,51.7%,49.6%
海月,52.6%,9.5%,20.8%,19.4%,623,22.9%,52.9%,52.2%,49.6%
裴擒虎,52.0%,20.9%,20.4%,18.4%,781,25.8%,55.2%,49.9%,45.5%
元流之子(射手),49.5%,38.3%,27.9%,16.0%,718,26.3%,51.5%,50.3%,44.9%
元歌,51.3%,14.2%,21.0%,13.6%,670,26.6%,52.7%,50.5%,53.5%
沈梦溪,48.6%,24.5%,28.9%,14.0%,647,29.9%,47.6%,47.6%,51.0%
女娲,49.0%,19.1%,26.8%,11.3%,642,29.5%,45.6%,49.7%,52.0%
盾山,53.0%,14.3%,8.9%,24.9%,520,22.9%,54.1%,51.6%,51.2%
蚩奼,50.4%,28.7%,22.5%,20.5%,704,21.8%,48.0%,50.6%,53.1%
镜,51.0%,16.3%,21.0%,18.3%,767,32.9%,51.1%,51.0%,51.7%
哪吒,49.6%,19.5%,20.0%,22.1%,641,15.3%,46.8%,52.0%,54.6%
刘邦,50.6%,23.2%,11.3%,27.0%,547,28.3%,51.8%,51.0%,51.8%
大乔,55.4%,19.7%,20.7%,17.7%,588,33.0%,55.2%,52.4%,51.4%
戈娅,51.3%,24.9%,26.0%,17.0%,729,23.1%,50.7%,52.5%,49.7%
公孙离,50.6%,19.2%,23.2%,16.7%,723,29.4%,49.3%,51.0%,53.2%
老夫子,50.9%,14.2%,13.0%,18.2%,644,24.9%,46.1%,52.8%,58.2%
嫦娥,50.1%,19.5%,24.7%,19.7%,687,26.1%,51.3%,50.6%,54.4%
张飞,46.4%,19.5%,6.7%,28.7%,505,29.3%,45.5%,48.2%,51.2%
苏烈,50.7%,16.7%,10.3%,32.1%,511,22.8%,53.7%,50.6%,49.0%
关羽,53.1%,14.4%,15.1%,19.5%,652,21.4%,56.3%,51.3%,47.5%
不知火舞,51.5%,16.0%,20.6%,17.3%,631,26.2%,54.3%,49.1%,44.4%
大禹,48.0%,16.6%,8.5%,24.0%,518,27.0%,48.2%,49.7%,48.2%
元流之子(辅助),49.6%,12.5%,12.8%,26.5%,520,33.3%,48.6%,50.3%,49.2%
狂铁,49.5%,17.7%,16.8%,28.1%,635,22.1%,47.6%,49.1%,49.2%
司空震,48.6%,17.7%,21.5%,24.1%,703,24.6%,48.9%,48.5%,50.6%
艾琳,50.2%,12.5%,28.4%,18.4%,723,28.3%,50.5%,50.5%,47.5%
