英雄A(阵营1),英雄B(阵营2),对局序号,单局胜负摘要,蓝方阵容(5人),红方阵容(5人)
小乔,墨子,1,阵营1 胜利,"司空震,小乔,后羿,百里玄策,刘邦","元歌,墨子,元流之子(射手),影,曜"
小乔,墨子,2,阵营1 胜利,"蚩奼,墨子,敖隐,裴擒虎,大禹","花木兰,小乔,元流之子(射手),大司命,张飞"
小乔,墨子,3,阵营2 胜利,"老夫子,墨子,元流之子(射手),裴擒虎,少司缘","姬小满,小乔,苍,哪吒,张飞"
小乔,墨子,4,阵营1 胜利,"亚瑟,墨子,公孙离,云中君,刘邦","司空震,小乔,元流之子(射手),诸葛亮,鬼谷子"
小乔,墨子,5,阵营2 胜利,"猪八戒,小乔,蚩奼,裴擒虎,苏烈","司空震,墨子,后羿,刘备,钟馗"
小乔,墨子,6,阵营2 胜利,"司空震,墨子,戈娅,大司命,亚瑟","哪吒,小乔,元流之子(射手),杨戬,廉颇"
小乔,墨子,7,阵营1 胜利,"狂铁,小乔,艾琳,韩信,少司缘","司空震,墨子,李信,哪吒,大禹"
小乔,墨子,8,阵营2 胜利,"狂铁,小乔,狄仁杰,雅典娜,少司缘","老夫子,墨子,公孙离,橘右京,桑启"
小乔,墨子,9,阵营2 胜利,"司空震,小乔,元流之子(射手),镜,鲁班大师","猪八戒,墨子,虞姬,裴擒虎,刘邦"
小乔,墨子,10,阵营2 胜利,"哪吒,小乔,艾琳,元流之子(刺客),刘邦","夏洛特,墨子,元流之子(射手),大司命,太乙真人"
小乔,墨子,11,阵营2 胜利,"姬小满,小乔,虞姬,露娜,张飞","花木兰,墨子,元流之子(射手),镜,苏烈"
小乔,墨子,12,阵营2 胜利,"蚩奼,小乔,元流之子(射手),澜,鲁班大师","关羽,墨子,艾琳,韩信,刘邦"
小乔,墨子,13,阵营1 胜利,"夏侯惇,小乔,艾琳,镜,元流之子(辅助)","杨戬,墨子,元流之子(射手),韩信,刘邦"
小乔,墨子,14,阵营1 胜利,"芈月,小乔,公孙离,盘古,张飞","蒙恬,墨子,元流之子(射手),阿轲,少司缘"
小乔,墨子,15,阵营1 胜利,"哪吒,墨子,敖隐,镜,元流之子(辅助)","花木兰,小乔,虞姬,孙悟空,刘邦"
小乔,墨子,16,阵营1 胜利,"芈月,墨子,艾琳,裴擒虎,盾山","梦奇,小乔,元流之子(射手),宫本武藏,鬼谷子"
小乔,墨子,17,阵营1 胜利,"芈月,小乔,戈娅,暃,刘邦","司空震,墨子,元流之子(射手),裴擒虎,张飞"
小乔,墨子,18,阵营1 胜利,"狂铁,小乔,元流之子(射手),阿轲,苏烈","杨戬,墨子,苍,裴擒虎,大禹"
小乔,墨子,19,阵营1 胜利,"曹操,墨子,戈娅,司马懿,瑶","狂铁,小乔,元流之子(射手),刘备,大禹"
小乔,妲己,1,阵营1 胜利,"吕布,妲己,狄仁杰,杨戬,元流之子(辅助)","影,小乔,元流之子(射手),赵云,张飞"
小乔,妲己,2,阵营2 胜利,"关羽,妲己,苍,诸葛亮,鲁班大师","哪吒,小乔,戈娅,兰陵王,刘邦"
小乔,妲己,3,阵营2 胜利,"司空震,妲己,蚩奼,百里玄策,墨子","狂铁,小乔,元流之子(射手),韩信,大禹"
小乔,妲己,4,阵营1 胜利,"花木兰,小乔,蚩奼,马超,刘邦","元歌,妲己,戈娅,镜,苏烈"
小乔,妲己,5,阵营1 胜利,"曹操,妲己,戈娅,裴擒虎,墨子","达摩,小乔,元流之子(射手),镜,少司缘"
小乔,妲己,6,阵营1 胜利,"蚩奼,小乔,元流之子(射手),云缨,苏烈","关羽,妲己,百里守约,宫本武藏,刘邦"
小乔,妲己,7,阵营2 胜利,"蚩奼,妲己,元流之子(射手),赵云,盾山","夏洛特,小乔,伽罗,橘右京,张飞"
小乔,妲己,8,阵营1 胜利,"关羽,小乔,蚩奼,镜,瑶","狂铁,妲己,老夫子,梦奇,孙膑"
小乔,妲己,9,阵营1 胜利,"关羽,妲己,蚩奼,暃,空空儿","老夫子,小乔,戈娅,宫本武藏,大乔"
小乔,妲己,10,阵营1 胜利,"影,妲己,敖隐,云缨,瑶","猪八戒,小乔,元流之子(射手),暃,张飞"
小乔,妲己,11,阵营2 胜利,"司空震,妲己,戈娅,裴擒虎,大禹","赵怀真,小乔,李信,韩信,张飞"
小乔,妲己,12,阵营2 胜利,"马超,妲己,公孙离,镜,苏烈","夏洛特,小乔,狄仁杰,裴擒虎,张飞"
小乔,妲己,13,阵营1 胜利,"关羽,小乔,蚩奼,李白,大禹","达摩,妲己,戈娅,杨戬,苏烈"
小乔,妲己,14,阵营2 胜利,"元歌,妲己,虞姬,杨戬,元流之子(辅助)","姬小满,小乔,狄仁杰,李白,苏烈"
小乔,妲己,15,阵营1 胜利,"曹操,小乔,元流之子(射手),暃,赵怀真","马超,妲己,孙权,橘右京,西施"
小乔,妲己,16,阵营1 胜利,"狂铁,小乔,元流之子(射手),刘备,少司缘","司空震,妲己,艾琳,暃,盾山"
小乔,妲己,17,阵营2 胜利,"司空震,妲己,元流之子(射手),云缨,太乙真人","老夫子,小乔,公孙离,韩信,钟馗"
小乔,妲己,18,阵营1 胜利,"元歌,小乔,百里守约,元流之子(刺客),苏烈","狂铁,妲己,蚩奼,赵云,刘邦"
小乔,妲己,19,阵营1 胜利,"影,小乔,孙权,镜,张飞","蚩奼,妲己,虞姬,大司命,大禹"
小乔,嬴政,1,阵营1 胜利,"哪吒,嬴政,苍,马超,孙膑","关羽,小乔,狄仁杰,典韦,元流之子(辅助)"
小乔,嬴政,2,阵营2 胜利,"司空震,小乔,艾琳,铠,少司缘","夏洛特,嬴政,元流之子(射手),赵云,墨子"
小乔,嬴政,3,阵营2 胜利,"影,小乔,敖隐,大司命,张飞","狂铁,嬴政,狄仁杰,裴擒虎,盾山"
小乔,嬴政,4,阵营1 胜利,"蚩奼,嬴政,元流之子(射手),刘备,苏烈","影,小乔,苍,大司命,太乙真人"
小乔,嬴政,5,阵营1 胜利,"白起,嬴政,元流之子(射手),司马懿,少司缘","蚩奼,小乔,戈娅,杨戬,张飞"
小乔,嬴政,6,阵营1 胜利,"狂铁,小乔,公孙离,裴擒虎,桑启","梦奇,嬴政,戈娅,阿古朵,刘邦"
小乔,嬴政,7,阵营1 胜利,"关羽,小乔,孙权,李元芳,张飞","夏洛特,嬴政,鲁班七号,裴擒虎,刘禅"
小乔,嬴政,8,阵营1 胜利,"梦奇,小乔,元流之子(射手),阿古朵,张飞","哪吒,嬴政,公孙离,百里玄策,元流之子(辅助)"
小乔,嬴政,9,阵营1 胜利,"梦奇,嬴政,虞姬,雅典娜,空空儿","花木兰,小乔,艾琳,曜,太乙真人"
小乔,嬴政,10,阵营1 胜利,"狂铁,嬴政,敖隐,宫本武藏,少司缘","司空震,小乔,李信,马超,张飞"
小乔,嬴政,11,阵营2 胜利,"姬小满,小乔,孙权,马超,太乙真人","元歌,嬴政,苍,裴擒虎,廉颇"
小乔,嬴政,12,阵营2 胜利,"老夫子,小乔,艾琳,镜,少司缘","司空震,嬴政,孙权,韩信,空空儿"
小乔,嬴政,13,阵营2 胜利,"曹操,嬴政,公孙离,云缨,东皇太一","白起,小乔,元流之子(射手),韩信,少司缘"
小乔,嬴政,14,阵营2 胜利,"达摩,小乔,蚩奼,韩信,苏烈","司空震,嬴政,元流之子(射手),百里玄策,赵怀真"
小乔,嬴政,15,阵营1 胜利,"夏洛特,嬴政,戈娅,橘右京,少司缘","元歌,小乔,艾琳,司马懿,盾山"
小乔,嬴政,16,阵营1 胜利,"蒙恬,嬴政,李信,暃,少司缘","关羽,小乔,后羿,阿古朵,盾山"
小乔,嬴政,17,阵营2 胜利,"元歌,小乔,敖隐,杨戬,少司缘","蒙恬,嬴政,元流之子(射手),典韦,大禹"
小乔,嬴政,18,阵营2 胜利,"曹操,小乔,戈娅,云缨,钟馗","关羽,嬴政,蚩奼,赵云,大乔"
小乔,嬴政,19,阵营1 胜利,"哪吒,嬴政,艾琳,铠,墨子","影,小乔,元流之子(射手),孙悟空,明世隐"
小乔,高渐离,1,阵营1 胜利,"哪吒,小乔,公孙离,司马懿,大禹","影,高渐离,蚩奼,宫本武藏,刘邦"
小乔,高渐离,2,阵营1 胜利,"姬小满,小乔,蚩奼,影,太乙真人","狂铁,高渐离,戈娅,司马懿,少司缘"
小乔,高渐离,3,阵营2 胜利,"元流之子(坦克),高渐离,虞姬,司马懿,桑启","老夫子,小乔,公孙离,马超,少司缘"
小乔,高渐离,4,阵营2 胜利,"元歌,小乔,蚩奼,裴擒虎,元流之子(辅助)","夏洛特,高渐离,苍,铠,刘邦"
小乔,高渐离,5,阵营2 胜利,"狂铁,高渐离,戈娅,元流之子(刺客),墨子","吕布,小乔,元流之子(射手),橘右京,空空儿"
小乔,高渐离,6,阵营1 胜利,"蚩奼,高渐离,李信,赵云,刘邦","狂铁,小乔,戈娅,暃,苏烈"
小乔,高渐离,7,阵营2 胜利,"哪吒,小乔,元流之子(射手),马超,少司缘","影,高渐离,艾琳,阿古朵,盾山"
小乔,高渐离,8,阵营1 胜利,"关羽,小乔,敖隐,云缨,元流之子(辅助)","蒙恬,高渐离,元流之子(射手),露娜,钟馗"
小乔,高渐离,9,阵营2 胜利,"元歌,小乔,元流之子(射手),司马懿,张飞","夏洛特,高渐离,戈娅,裴擒虎,桑启"
小乔,高渐离,10,阵营1 胜利,"影,小乔,戈娅,镜,大乔","司空震,高渐离,公孙离,宫本武藏,苏烈"
小乔,高渐离,11,阵营2 胜利,"哪吒,小乔,元流之子(射手),裴擒虎,廉颇","元歌,高渐离,马可波罗,孙悟空,盾山"
小乔,高渐离,12,阵营2 胜利,"亚瑟,小乔,戈娅,镜,钟馗","元歌,高渐离,公孙离,赵云,刘邦"
小乔,高渐离,13,阵营1 胜利,"兰陵王,小乔,戈娅,镜,苏烈","蒙恬,高渐离,百里守约,裴擒虎,刘邦"
小乔,高渐离,14,阵营1 胜利,"哪吒,小乔,敖隐,赵云,蔡文姬","老夫子,高渐离,李信,孙悟空,盾山"
小乔,高渐离,15,阵营1 胜利,"老夫子,高渐离,敖隐,暃,鲁班大师","海诺,小乔,苍,裴擒虎,张飞"
小乔,高渐离,16,阵营1 胜利,"元歌,高渐离,元流之子(射手),赵云,少司缘","蚩奼,小乔,鲁班七号,影,元流之子(辅助)"
小乔,高渐离,17,阵营1 胜利,"影,高渐离,元流之子(射手),大司命,钟馗","元歌,小乔,苍,阿古朵,大乔"
小乔,高渐离,18,阵营1 胜利,"猪八戒,小乔,李信,裴擒虎,太乙真人","马超,高渐离,蚩奼,宫本武藏,刘邦"
小乔,高渐离,19,阵营2 胜利,"曹操,小乔,戈娅,橘右京,杨玉环","元歌,高渐离,元流之子(射手),雅典娜,大禹"
小乔,扁鹊,1,阵营1 胜利,"蒙恬,小乔,公孙离,赵云,少司缘","杨戬,扁鹊,戈娅,镜,苏烈"
小乔,扁鹊,2,阵营2 胜利,"马超,小乔,戈娅,百里玄策,太乙真人","司空震,扁鹊,元流之子(射手),橘右京,少司缘"
小乔,扁鹊,3,阵营1 胜利,"蒙恬,小乔,李信,暃,张良","狂铁,扁鹊,蚩奼,赵云,少司缘"
小乔,扁鹊,4,阵营1 胜利,"影,小乔,敖隐,曜,杨玉环","老夫子,扁鹊,虞姬,孙悟空,大禹"
小乔,扁鹊,5,阵营2 胜利,"亚连,小乔,敖隐,云缨,刘邦","芈月,扁鹊,百里守约,裴擒虎,张飞"
小乔,扁鹊,6,阵营2 胜利,"蚩奼,小乔,马可波罗,裴擒虎,刘邦","孙悟空,扁鹊,戈娅,橘右京,廉颇"
小乔,扁鹊,7,阵营1 胜利,"元歌,扁鹊,公孙离,橘右京,廉颇","蚩奼,小乔,元流之子(射手),百里玄策,张飞"
小乔,扁鹊,8,阵营1 胜利,"元歌,小乔,戈娅,盘古,少司缘","哪吒,扁鹊,后羿,裴擒虎,刘邦"
小乔,扁鹊,9,阵营2 胜利,"姬小满,扁鹊,蚩奼,云缨,大禹","影,小乔,百里守约,露娜,张飞"
小乔,扁鹊,10,阵营2 胜利,"司空震,扁鹊,公孙离,马超,廉颇","哪吒,小乔,李信,橘右京,关羽"
小乔,扁鹊,11,阵营1 胜利,"曹操,小乔,虞姬,裴擒虎,钟馗","哪吒,扁鹊,戈娅,百里玄策,太乙真人"
小乔,扁鹊,12,阵营1 胜利,"司空震,扁鹊,元流之子(射手),铠,少司缘","亚连,小乔,苍,孙悟空,刘邦"
小乔,扁鹊,13,阵营2 胜利,"蚩奼,扁鹊,元流之子(射手),大司命,大禹","老夫子,小乔,李信,典韦,元流之子(坦克)"
小乔,扁鹊,14,阵营2 胜利,"老夫子,扁鹊,元流之子(射手),镜,大禹","曹操,小乔,虞姬,李白,刘邦"
小乔,扁鹊,15,阵营1 胜利,"元歌,小乔,敖隐,裴擒虎,盾山","马超,扁鹊,苍,猪八戒,张飞"
小乔,扁鹊,16,阵营2 胜利,"哪吒,小乔,元流之子(射手),裴擒虎,太乙真人","达摩,扁鹊,虞姬,铠,元流之子(辅助)"
小乔,扁鹊,17,阵营1 胜利,"影,扁鹊,蚩奼,镜,少司缘","老夫子,小乔,元流之子(射手),盘古,刘邦"
小乔,扁鹊,18,阵营2 胜利,"影,扁鹊,元流之子(射手),裴擒虎,大乔","哪吒,小乔,戈娅,盘古,少司缘"
小乔,扁鹊,19,阵营1 胜利,"哪吒,扁鹊,狄仁杰,裴擒虎,大乔","狂铁,小乔,戈娅,阿古朵,少司缘"
小乔,周瑜,1,阵营2 胜利,"曹操,小乔,元流之子(射手),澜,廉颇","马超,周瑜,李信,韩信,刘邦"
小乔,周瑜,2,阵营2 胜利,"哪吒,小乔,公孙离,诸葛亮,刘禅","元歌,周瑜,虞姬,云中君,张飞"
小乔,周瑜,3,阵营2 胜利,"司空震,小乔,苍,云缨,苏烈","杨戬,周瑜,戈娅,诸葛亮,杨玉环"
小乔,周瑜,4,阵营2 胜利,"达摩,周瑜,蚩奼,元流之子(刺客),少司缘","老夫子,小乔,元流之子(射手),云缨,杨玉环"
小乔,周瑜,5,阵营2 胜利,"元歌,小乔,元流之子(射手),云缨,廉颇","哪吒,周瑜,公孙离,典韦,赵怀真"
小乔,周瑜,6,阵营2 胜利,"关羽,周瑜,苍,铠,张飞","狂铁,小乔,敖隐,橘右京,元流之子(辅助)"
小乔,周瑜,7,阵营1 胜利,"曹操,周瑜,蚩奼,雅典娜,盾山","孙策,小乔,元流之子(射手),司马懿,太乙真人"
小乔,周瑜,8,阵营1 胜利,"兰陵王,小乔,元流之子(射手),裴擒虎,张飞","司空震,周瑜,敖隐,阿古朵,赵怀真"
小乔,周瑜,9,阵营2 胜利,"夏洛特,小乔,孙尚香,马超,少司缘","关羽,周瑜,公孙离,铠,钟馗"
小乔,周瑜,10,阵营1 胜利,"哪吒,小乔,敖隐,裴擒虎,苏烈","蚩奼,周瑜,艾琳,云缨,赵怀真"
小乔,周瑜,11,阵营2 胜利,"影,周瑜,后羿,韩信,大禹","蒙恬,小乔,元流之子(射手),李白,孙膑"
小乔,周瑜,12,阵营2 胜利,"亚瑟,小乔,元流之子(射手),裴擒虎,鲁班大师","蒙恬,周瑜,戈娅,哪吒,少司缘"
小乔,周瑜,13,阵营2 胜利,"曹操,周瑜,李信,露娜,张飞","元歌,小乔,戈娅,诸葛亮,少司缘"
小乔,周瑜,14,阵营1 胜利,"钟无艳,周瑜,公孙离,阿古朵,刘邦","蚩奼,小乔,虞姬,云中君,鲁班大师"
小乔,周瑜,15,阵营2 胜利,"司空震,小乔,蚩奼,露娜,少司缘","狂铁,周瑜,李信,马超,东皇太一"
小乔,周瑜,16,阵营1 胜利,"司空震,周瑜,公孙离,韩信,元流之子(坦克)","元歌,小乔,伽罗,诸葛亮,赵怀真"
小乔,周瑜,17,阵营2 胜利,"老夫子,周瑜,艾琳,马超,盾山","曹操,小乔,元流之子(射手),宫本武藏,钟馗"
