英雄A(阵营1),英雄B(阵营2),对局序号,单局胜负摘要,蓝方阵容(5人),红方阵容(5人)
孙尚香,鲁班七号,1,阵营1 胜利,"蒙恬,杨玉环,鲁班七号,钟无艳,刘邦","夏洛特,大乔,孙尚香,裴擒虎,少司缘"
孙尚香,鲁班七号,2,阵营1 胜利,"哪吒,甄姬,孙尚香,宫本武藏,元流之子(坦克)","狂铁,女娲,鲁班七号,杨戬,少司缘"
孙尚香,鲁班七号,3,阵营2 胜利,"影,武则天,鲁班七号,韩信,东皇太一","兰陵王,沈梦溪,孙尚香,云中君,盾山"
孙尚香,鲁班七号,4,阵营1 胜利,"司空震,小乔,鲁班七号,大司命,大乔","影,沈梦溪,孙尚香,百里玄策,桑启"
孙尚香,鲁班七号,5,阵营2 胜利,"夏洛特,嫦娥,孙尚香,裴擒虎,太乙真人","哪吒,王昭君,鲁班七号,赵云,鬼谷子"
孙尚香,鲁班七号,6,阵营1 胜利,"蚩奼,武则天,鲁班七号,韩信,刘邦","司空震,弈星,孙尚香,孙悟空,少司缘"
孙尚香,鲁班七号,7,阵营1 胜利,"钟无艳,沈梦溪,孙尚香,孙悟空,太乙真人","盘古,不知火舞,鲁班七号,暃,张飞"
孙尚香,鲁班七号,8,阵营1 胜利,"哪吒,女娲,孙尚香,大司命,盾山","司空震,大乔,鲁班七号,橘右京,张飞"
孙尚香,鲁班七号,9,阵营2 胜利,"司空震,女娲,鲁班七号,元流之子(刺客),太乙真人","元歌,甄姬,孙尚香,镜,大乔"
孙尚香,鲁班七号,10,阵营1 胜利,"哪吒,武则天,孙尚香,铠,苏烈","曹操,海诺,鲁班七号,典韦,庄周"
孙尚香,鲁班七号,11,阵营1 胜利,"老夫子,沈梦溪,孙尚香,李白,少司缘","哪吒,海月,鲁班七号,孙悟空,大乔"
孙尚香,鲁班七号,12,阵营2 胜利,"元歌,甄姬,孙尚香,赵云,少司缘","蒙恬,沈梦溪,鲁班七号,司马懿,苏烈"
孙尚香,鲁班七号,13,阵营2 胜利,"老夫子,沈梦溪,孙尚香,橘右京,刘邦","哪吒,高渐离,鲁班七号,刘备,盾山"
孙尚香,鲁班七号,14,阵营1 胜利,"芈月,上官婉儿,孙尚香,李白,少司缘","影,武则天,鲁班七号,云缨,盾山"
孙尚香,鲁班七号,15,阵营1 胜利,"关羽,安琪拉,鲁班七号,大司命,太乙真人","元歌,不知火舞,孙尚香,司马懿,鲁班大师"
孙尚香,鲁班七号,16,阵营1 胜利,"孙策,不知火舞,鲁班七号,诸葛亮,盾山","哪吒,女娲,孙尚香,大司命,庄周"
孙尚香,鲁班七号,17,阵营1 胜利,"蚩奼,西施,鲁班七号,云缨,刘邦","夏洛特,貂蝉,孙尚香,铠,张飞"
孙尚香,鲁班七号,18,阵营2 胜利,"司空震,嬴政,鲁班七号,裴擒虎,瑶","老夫子,女娲,孙尚香,梦奇,少司缘"
孙尚香,鲁班七号,19,阵营2 胜利,"狂铁,武则天,孙尚香,马超,太乙真人","司空震,上官婉儿,鲁班七号,裴擒虎,大禹"
孙尚香,扁鹊,1,阵营1 胜利,"影,上官婉儿,扁鹊,哪吒,刘邦","夏侯惇,杨玉环,孙尚香,曹操,大禹"
孙尚香,扁鹊,2,阵营2 胜利,"关羽,扁鹊,狄仁杰,裴擒虎,苏烈","孙策,上官婉儿,孙尚香,杨戬,盾山"
孙尚香,扁鹊,3,阵营2 胜利,"马超,杨玉环,扁鹊,元流之子(坦克),少司缘","哪吒,武则天,孙尚香,澜,盾山"
孙尚香,扁鹊,4,阵营2 胜利,"影,西施,扁鹊,赵云,杨玉环","老夫子,甄姬,孙尚香,诸葛亮,张飞"
孙尚香,扁鹊,5,阵营1 胜利,"元歌,上官婉儿,孙尚香,大司命,苏烈","蒙恬,沈梦溪,扁鹊,阿古朵,大禹"
孙尚香,扁鹊,6,阵营1 胜利,"曹操,杨玉环,孙尚香,娜可露露,盾山","司空震,女娲,扁鹊,铠,张飞"
孙尚香,扁鹊,7,阵营2 胜利,"元歌,不知火舞,孙尚香,夏侯惇,廉颇","哪吒,诸葛亮,扁鹊,铠,盾山"
孙尚香,扁鹊,8,阵营2 胜利,"狂铁,女娲,扁鹊,韩信,少司缘","曹操,甄姬,孙尚香,镜,大禹"
孙尚香,扁鹊,9,阵营1 胜利,"关羽,女娲,孙尚香,司马懿,盾山","影,大乔,扁鹊,诸葛亮,苏烈"
孙尚香,扁鹊,10,阵营2 胜利,"曹操,嫦娥,扁鹊,暃,少司缘","狂铁,沈梦溪,孙尚香,元流之子(刺客),刘邦"
孙尚香,扁鹊,11,阵营2 胜利,"关羽,弈星,扁鹊,大司命,少司缘","元歌,安琪拉,孙尚香,橘右京,大禹"
