英雄A(阵营1),英雄B(阵营2),对局序号,单局胜负摘要,蓝方阵容(5人),红方阵容(5人)
廉颇,钟无艳,1,阵营1 胜利,"廉颇,上官婉儿,元流之子(射手),百里玄策,大禹","钟无艳,诸葛亮,敖隐,赵云,少司缘"
廉颇,钟无艳,2,阵营1 胜利,"廉颇,周瑜,百里守约,裴擒虎,钟馗","钟无艳,不知火舞,虞姬,孙悟空,刘邦"
廉颇,钟无艳,3,阵营1 胜利,"廉颇,大乔,艾琳,诸葛亮,盾山","钟无艳,海月,后羿,韩信,张飞"
廉颇,钟无艳,4,阵营1 胜利,"钟无艳,女娲,后羿,赵云,刘邦","廉颇,貂蝉,狄仁杰,镜,元流之子(辅助)"
廉颇,钟无艳,5,阵营2 胜利,"钟无艳,武则天,狄仁杰,阿古朵,盾山","廉颇,高渐离,元流之子(射手),裴擒虎,墨子"
廉颇,钟无艳,6,阵营2 胜利,"廉颇,女娲,公孙离,典韦,张飞","钟无艳,沈梦溪,元流之子(射手),赵云,太乙真人"
廉颇,钟无艳,7,阵营1 胜利,"廉颇,西施,敖隐,暃,张良","钟无艳,女娲,戈娅,百里玄策,苏烈"
廉颇,钟无艳,8,阵营2 胜利,"廉颇,武则天,元流之子(射手),镜,少司缘","钟无艳,西施,艾琳,孙悟空,元流之子(辅助)"
廉颇,钟无艳,9,阵营1 胜利,"钟无艳,沈梦溪,公孙离,镜,张良","廉颇,不知火舞,蚩奼,暃,桑启"
廉颇,钟无艳,10,阵营1 胜利,"廉颇,小乔,元流之子(射手),裴擒虎,少司缘","钟无艳,高渐离,后羿,橘右京,刘邦"
廉颇,钟无艳,11,阵营1 胜利,"钟无艳,西施,蚩奼,裴擒虎,少司缘","廉颇,弈星,公孙离,橘右京,太乙真人"
廉颇,钟无艳,12,阵营1 胜利,"钟无艳,元流之子(法师),蚩奼,杨戬,瑶","廉颇,海月,戈娅,铠,刘邦"
廉颇,钟无艳,13,阵营2 胜利,"钟无艳,安琪拉,孙权,赵云,张飞","廉颇,大乔,蚩奼,马超,刘邦"
廉颇,钟无艳,14,阵营2 胜利,"钟无艳,不知火舞,戈娅,马超,刘邦","廉颇,小乔,元流之子(射手),孙悟空,赵怀真"
廉颇,钟无艳,15,阵营2 胜利,"钟无艳,沈梦溪,戈娅,韩信,大禹","廉颇,大乔,孙尚香,李白,少司缘"
廉颇,白起,1,阵营2 胜利,"白起,海诺,敖隐,马超,大乔","廉颇,杨玉环,后羿,李元芳,刘邦"
廉颇,白起,2,阵营1 胜利,"廉颇,海月,李信,马超,刘邦","白起,大乔,后羿,大司命,少司缘"
廉颇,白起,3,阵营2 胜利,"廉颇,沈梦溪,虞姬,裴擒虎,苏烈","白起,女娲,后羿,李元芳,少司缘"
廉颇,白起,4,阵营1 胜利,"白起,武则天,虞姬,暃,大禹","廉颇,沈梦溪,李信,裴擒虎,元流之子(辅助)"
廉颇,白起,5,阵营2 胜利,"廉颇,嫦娥,蒙犽,云缨,刘邦","白起,甄姬,元流之子(射手),赵云,大禹"
廉颇,白起,6,阵营2 胜利,"廉颇,海月,后羿,裴擒虎,苏烈","白起,女娲,狄仁杰,橘右京,张良"
廉颇,白起,7,阵营2 胜利,"白起,不知火舞,蚩奼,典韦,大禹","廉颇,甄姬,戈娅,暃,鲁班大师"
廉颇,白起,8,阵营1 胜利,"廉颇,大乔,元流之子(射手),云缨,大禹","白起,海诺,李元芳,盘古,张飞"
廉颇,白起,9,阵营2 胜利,"廉颇,甄姬,戈娅,露娜,少司缘","白起,不知火舞,元流之子(射手),大司命,刘邦"
廉颇,白起,10,阵营2 胜利,"廉颇,小乔,蚩奼,裴擒虎,钟馗","白起,沈梦溪,戈娅,影,大乔"
廉颇,白起,11,阵营1 胜利,"白起,沈梦溪,敖隐,马超,赵怀真","廉颇,貂蝉,马可波罗,裴擒虎,刘邦"
廉颇,白起,12,阵营1 胜利,"白起,海诺,元流之子(射手),李元芳,庄周","廉颇,上官婉儿,孙权,云中君,刘邦"
廉颇,白起,13,阵营1 胜利,"廉颇,海诺,艾琳,橘右京,空空儿","白起,海月,伽罗,孙悟空,少司缘"
廉颇,白起,14,阵营1 胜利,"廉颇,海月,孙尚香,马超,张飞","白起,王昭君,元流之子(射手),暃,盾山"
廉颇,白起,15,阵营1 胜利,"廉颇,杨玉环,艾琳,韩信,元流之子(辅助)","白起,女娲,元流之子(射手),大司命,项羽"
廉颇,白起,16,阵营1 胜利,"白起,沈梦溪,艾琳,赵云,元流之子(辅助)","廉颇,嫦娥,孙权,阿古朵,大禹"
廉颇,白起,17,阵营2 胜利,"廉颇,不知火舞,艾琳,云缨,朵莉亚","白起,沈梦溪,苍,诸葛亮,太乙真人"
廉颇,白起,18,阵营1 胜利,"廉颇,海诺,戈娅,百里玄策,大禹","白起,元流之子(法师),苍,暃,苏烈"
廉颇,白起,19,阵营2 胜利,"廉颇,小乔,元流之子(射手),裴擒虎,墨子","白起,嫦娥,虞姬,元流之子(刺客),张飞"
廉颇,芈月,1,阵营1 胜利,"廉颇,甄姬,敖隐,诸葛亮,朵莉亚","芈月,女娲,后羿,云缨,少司缘"
廉颇,芈月,2,阵营2 胜利,"廉颇,高渐离,狄仁杰,镜,盾山","芈月,嫦娥,后羿,李元芳,太乙真人"
廉颇,芈月,3,阵营1 胜利,"廉颇,干将莫邪,后羿,马超,元流之子(辅助)","芈月,嫦娥,元流之子(射手),盘古,苏烈"
廉颇,芈月,4,阵营1 胜利,"芈月,高渐离,苍,李白,少司缘","廉颇,墨子,戈娅,暃,刘禅"
廉颇,芈月,5,阵营1 胜利,"芈月,貂蝉,艾琳,张飞,廉颇,元流之子(法师),苍,阿古朵,桑启",未集齐10人
廉颇,芈月,6,阵营1 胜利,"廉颇,不知火舞,李信,云缨,张飞","芈月,甄姬,元流之子(射手),铠,墨子"
廉颇,芈月,7,阵营2 胜利,"廉颇,嬴政,鲁班七号,赵云,太乙真人","芈月,嫦娥,元流之子(射手),李白,赵怀真"
廉颇,芈月,8,阵营2 胜利,"芈月,不知火舞,鲁班七号,铠,刘邦","廉颇,女娲,李信,橘右京,鲁班大师"
廉颇,芈月,9,阵营1 胜利,"芈月,沈梦溪,艾琳,宫本武藏,刘邦","廉颇,不知火舞,狄仁杰,裴擒虎,张飞"
廉颇,芈月,10,阵营1 胜利,"芈月,海月,孙权,云缨,张飞","廉颇,杨玉环,马可波罗,大司命,大禹"
廉颇,芈月,11,阵营2 胜利,"廉颇,司马懿,莱西奥,孙悟空,刘邦","芈月,杨玉环,老夫子,百里玄策,苏烈"
廉颇,芈月,12,阵营2 胜利,"廉颇,沈梦溪,敖隐,李白,刘邦","芈月,西施,后羿,元流之子(坦克),桑启"
廉颇,芈月,13,阵营1 胜利,"芈月,沈梦溪,苍,宫本武藏,张飞","廉颇,海诺,戈娅,铠,鲁班大师"
廉颇,芈月,14,阵营1 胜利,"廉颇,白起,蚩奼,镜,鬼谷子","芈月,女娲,狄仁杰,韩信,盾山"
廉颇,芈月,15,阵营2 胜利,"芈月,沈梦溪,戈娅,韩信,苏烈","廉颇,杨玉环,公孙离,诸葛亮,少司缘"
廉颇,芈月,16,阵营2 胜利,"廉颇,海月,戈娅,铠,大乔","芈月,不知火舞,司空震,元流之子(刺客),杨玉环"
廉颇,芈月,17,阵营1 胜利,"芈月,周瑜,元流之子(射手),宫本武藏,项羽","廉颇,海月,孙权,云缨,大禹"
廉颇,芈月,18,阵营1 胜利,"芈月,嫦娥,蚩奼,镜,张飞","廉颇,沈梦溪,后羿,孙悟空,刘邦"
廉颇,芈月,19,阵营2 胜利,"芈月,貂蝉,司空震,橘右京,大禹","廉颇,女娲,蚩奼,李元芳,刘邦"
廉颇,吕布,1,阵营1 胜利,"吕布,女娲,狄仁杰,钟无艳,元流之子(辅助)","廉颇,诸葛亮,元流之子(射手),阿古朵,张飞"
廉颇,吕布,2,阵营2 胜利,"吕布,嫦娥,百里守约,李白,少司缘","廉颇,沈梦溪,蚩奼,刘备,桑启"
廉颇,吕布,3,阵营2 胜利,"廉颇,不知火舞,狄仁杰,橘右京,盾山","吕布,甄姬,蚩奼,裴擒虎,杨玉环"
廉颇,吕布,4,阵营2 胜利,"吕布,上官婉儿,虞姬,百里玄策,少司缘","廉颇,不知火舞,元流之子(射手),韩信,大乔"
廉颇,吕布,5,阵营2 胜利,"吕布,小乔,艾琳,李白,盾山","廉颇,沈梦溪,蚩奼,赵云,少司缘"
廉颇,吕布,6,阵营2 胜利,"吕布,周瑜,元流之子(射手),裴擒虎,张飞","廉颇,小乔,艾琳,阿古朵,赵怀真"
