英雄A(阵营1),英雄B(阵营2),对局序号,单局胜负摘要,蓝方阵容(5人),红方阵容(5人)
赵云,阿轲,1,阵营2 胜利,"曹操,不知火舞,蚩奼,阿轲,刘邦","狂铁,大乔,戈娅,赵云,苏烈"
赵云,阿轲,2,阵营2 胜利,"狂铁,上官婉儿,敖隐,阿轲,太乙真人","吕布,妲己,元流之子(射手),赵云,张飞"
赵云,阿轲,3,阵营1 胜利,"曹操,貂蝉,蚩奼,阿轲,少司缘","夏洛特,沈梦溪,虞姬,赵云,杨玉环"
赵云,阿轲,4,阵营2 胜利,"影,西施,后羿,赵云,盾山","大司命,小乔,蚩奼,阿轲,太乙真人"
赵云,阿轲,5,阵营2 胜利,"关羽,海诺,元流之子(射手),阿轲,鲁班大师","司空震,诸葛亮,李元芳,赵云,刘邦"
赵云,阿轲,6,阵营2 胜利,"花木兰,沈梦溪,狄仁杰,阿轲,大禹","芈月,海月,孙权,赵云,刘禅"
赵云,阿轲,7,阵营2 胜利,"司空震,沈梦溪,孙权,赵云,苏烈","吕布,杨玉环,元流之子(射手),阿轲,鲁班大师"
赵云,阿轲,8,阵营1 胜利,"哪吒,不知火舞,马可波罗,赵云,大禹","关羽,沈梦溪,戈娅,阿轲,廉颇"
赵云,阿轲,9,阵营1 胜利,"蒙恬,武则天,元流之子(射手),赵云,少司缘","孙策,大乔,艾琳,阿轲,大禹"
赵云,阿轲,10,阵营2 胜利,"花木兰,安琪拉,元流之子(射手),阿轲,关羽","元流之子(坦克),沈梦溪,李元芳,赵云,大禹"
赵云,阿轲,11,阵营1 胜利,"杨戬,嫦娥,狄仁杰,阿轲,盾山","孙策,西施,虞姬,赵云,元流之子(辅助)"
赵云,阿轲,12,阵营1 胜利,"影,甄姬,戈娅,阿轲,刘邦","关羽,西施,艾琳,赵云,盾山"
赵云,阿轲,13,阵营2 胜利,"蚩奼,诸葛亮,戈娅,阿轲,刘邦","司空震,沈梦溪,苍,赵云,大乔"
赵云,阿轲,14,阵营2 胜利,"夏洛特,小乔,元流之子(射手),赵云,张飞","司空震,貂蝉,莱西奥,阿轲,墨子"
赵云,阿轲,15,阵营1 胜利,"影,武则天,元流之子(射手),赵云,大禹","曹操,海月,孙权,阿轲,张飞"
赵云,阿轲,16,阵营2 胜利,"哪吒,嫦娥,虞姬,阿轲,大乔","马超,小乔,苍,赵云,廉颇"
赵云,阿轲,17,阵营2 胜利,"白起,不知火舞,虞姬,赵云,少司缘","狂铁,甄姬,李信,阿轲,大禹"
赵云,阿轲,18,阵营2 胜利,"狂铁,女娲,孙尚香,阿轲,盾山","姬小满,海月,蚩奼,赵云,大乔"
赵云,阿轲,19,阵营1 胜利,"司空震,女娲,蒙犽,赵云,少司缘","兰陵王,杨玉环,蚩奼,阿轲,张飞"
赵云,钟无艳,1,阵营1 胜利,"哪吒,上官婉儿,狄仁杰,钟无艳,苏烈","老夫子,沈梦溪,蚩奼,赵云,刘邦"
赵云,钟无艳,2,阵营2 胜利,"影,西施,戈娅,赵云,苏烈","蒙恬,沈梦溪,孙权,钟无艳,刘邦"
赵云,钟无艳,3,阵营2 胜利,"蚩奼,不知火舞,后羿,赵云,大禹","老夫子,上官婉儿,元流之子(射手),钟无艳,少司缘"
赵云,钟无艳,4,阵营2 胜利,"司空震,女娲,蚩奼,钟无艳,廉颇","哪吒,嫦娥,戈娅,赵云,太乙真人"
赵云,钟无艳,5,阵营1 胜利,"哪吒,女娲,元流之子(射手),钟无艳,廉颇","关羽,沈梦溪,戈娅,赵云,苏烈"
赵云,钟无艳,6,阵营1 胜利,"亚瑟,杨玉环,蚩奼,钟无艳,东皇太一","哪吒,女娲,公孙离,赵云,太乙真人"
赵云,钟无艳,7,阵营1 胜利,"孙策,诸葛亮,戈娅,赵云,刘邦","亚瑟,杨玉环,元流之子(射手),钟无艳,大乔"
赵云,钟无艳,8,阵营2 胜利,"哪吒,王昭君,敖隐,钟无艳,张飞","芈月,上官婉儿,狄仁杰,赵云,大禹"
赵云,钟无艳,9,阵营2 胜利,"老夫子,诸葛亮,戈娅,赵云,张飞","司空震,女娲,元流之子(射手),钟无艳,太乙真人"
赵云,钟无艳,10,阵营1 胜利,"白起,海月,元流之子(射手),赵云,少司缘","老夫子,小乔,狄仁杰,钟无艳,盾山"
赵云,钟无艳,11,阵营1 胜利,"哪吒,杨玉环,后羿,赵云,廉颇","影,沈梦溪,虞姬,钟无艳,刘邦"
赵云,钟无艳,12,阵营2 胜利,"蚩奼,小乔,李信,钟无艳,刘邦","老夫子,杨玉环,敖隐,赵云,盾山"
赵云,钟无艳,13,阵营2 胜利,"曹操,上官婉儿,孙权,赵云,大乔","花木兰,武则天,元流之子(射手),钟无艳,刘邦"
赵云,钟无艳,14,阵营2 胜利,"哪吒,小乔,戈娅,赵云,大禹","夏洛特,嫦娥,元流之子(射手),钟无艳,孙膑"
赵云,钟无艳,15,阵营1 胜利,"司空震,海月,戈娅,钟无艳,大禹","狂铁,沈梦溪,蚩奼,赵云,刘邦"
赵云,钟无艳,16,阵营1 胜利,"影,小乔,李信,钟无艳,墨子","花木兰,嫦娥,狄仁杰,赵云,盾山"
赵云,钟无艳,17,阵营1 胜利,"梦奇,海诺,蚩奼,钟无艳,少司缘","白起,貂蝉,狄仁杰,赵云,元流之子(辅助)"
赵云,钟无艳,18,阵营1 胜利,"影,沈梦溪,元流之子(射手),赵云,苏烈","白起,嫦娥,蚩奼,钟无艳,盾山"
赵云,钟无艳,19,阵营2 胜利,"白起,甄姬,百里守约,钟无艳,苏烈","影,武则天,蚩奼,赵云,张飞"
赵云,芈月,1,阵营2 胜利,"哪吒,貂蝉,元流之子(射手),赵云,苏烈","元歌,海月,艾琳,芈月,盾山"
赵云,芈月,2,阵营1 胜利,"夏洛特,女娲,戈娅,赵云,刘邦","马超,沈梦溪,狄仁杰,芈月,盾山"
赵云,芈月,3,阵营2 胜利,"哪吒,小乔,元流之子(射手),赵云,廉颇","孙策,嫦娥,戈娅,芈月,瑶"
赵云,芈月,4,阵营1 胜利,"蒙恬,杨玉环,艾琳,芈月,元流之子(辅助)","元歌,不知火舞,蚩奼,赵云,刘邦"
赵云,芈月,5,阵营2 胜利,"司空震,沈梦溪,百里守约,芈月,大乔","哪吒,嫦娥,孙尚香,赵云,刘邦"
赵云,芈月,6,阵营2 胜利,"钟无艳,元流之子(法师),蚩奼,芈月,大禹","司空震,嫦娥,虞姬,赵云,盾山"
赵云,芈月,7,阵营2 胜利,"孙策,沈梦溪,虞姬,赵云,少司缘","元歌,貂蝉,孙尚香,芈月,盾山"
赵云,芈月,8,阵营1 胜利,"老夫子,司马懿,孙尚香,赵云,张飞","蚩奼,杨玉环,元流之子(射手),芈月,苏烈"
赵云,芈月,9,阵营2 胜利,"花木兰,姜子牙,虞姬,赵云,桑启","哪吒,甄姬,戈娅,芈月,大禹"
赵云,芈月,10,阵营2 胜利,"花木兰,武则天,苍,芈月,刘邦","吕布,元流之子(法师),蚩奼,赵云,赵怀真"
赵云,芈月,11,阵营1 胜利,"哪吒,大乔,孙权,赵云,少司缘","影,高渐离,虞姬,芈月,大禹"
赵云,芈月,12,阵营2 胜利,"亚连,干将莫邪,元流之子(射手),芈月,张飞","狂铁,姜子牙,孙权,赵云,廉颇"
赵云,芈月,13,阵营1 胜利,"蒙恬,金蝉,敖隐,芈月,苏烈","曹操,女娲,李信,赵云,廉颇"
赵云,芈月,14,阵营2 胜利,"老夫子,貂蝉,李信,芈月,少司缘","白起,嫦娥,元流之子(射手),赵云,苏烈"
赵云,芈月,15,阵营1 胜利,"兰陵王,女娲,狄仁杰,芈月,元流之子(辅助)","蒙恬,西施,戈娅,赵云,张飞"
赵云,芈月,16,阵营1 胜利,"哪吒,大乔,百里守约,赵云,太乙真人","关羽,不知火舞,狄仁杰,芈月,张飞"
赵云,芈月,17,阵营1 胜利,"刘邦,嫦娥,虞姬,赵云,张飞","曹操,海月,莱西奥,芈月,少司缘"
赵云,芈月,18,阵营2 胜利,"达摩,嫦娥,戈娅,赵云,少司缘","老夫子,杨玉环,元流之子(射手),芈月,大乔"
赵云,芈月,19,阵营2 胜利,"狂铁,高渐离,蚩奼,赵云,张飞","元歌,沈梦溪,元流之子(射手),芈月,刘禅"
赵云,夏侯惇,1,阵营2 胜利,"司空震,武则天,虞姬,夏侯惇,少司缘","影,西施,蚩奼,赵云,大禹"
赵云,夏侯惇,2,阵营1 胜利,"哪吒,诸葛亮,孙权,赵云,大禹","元歌,墨子,艾琳,夏侯惇,元流之子(辅助)"
赵云,夏侯惇,3,阵营2 胜利,"影,海月,李信,夏侯惇,大禹","曹操,女娲,蚩奼,赵云,少司缘"
赵云,夏侯惇,4,阵营2 胜利,"姬小满,女娲,孙权,夏侯惇,少司缘","海诺,大乔,戈娅,赵云,空空儿"
赵云,夏侯惇,5,阵营2 胜利,"曹操,上官婉儿,元流之子(射手),赵云,墨子","元歌,嫦娥,孙权,夏侯惇,鲁班大师"
赵云,夏侯惇,6,阵营2 胜利,"兰陵王,嫦娥,苍,赵云,张良","曹操,海月,蚩奼,夏侯惇,朵莉亚"
赵云,夏侯惇,7,阵营2 胜利,"夏洛特,武则天,公孙离,夏侯惇,少司缘","老夫子,沈梦溪,元流之子(射手),赵云,大禹"
赵云,夏侯惇,8,阵营1 胜利,"狂铁,甄姬,蚩奼,夏侯惇,瑶","赵怀真,沈梦溪,百里守约,赵云,刘邦"
赵云,夏侯惇,9,阵营1 胜利,"夏洛特,沈梦溪,敖隐,赵云,廉颇","关羽,小乔,苍,夏侯惇,大禹"
赵云,夏侯惇,10,阵营2 胜利,"哪吒,上官婉儿,狄仁杰,夏侯惇,大乔","司空震,墨子,元歌,赵云,刘邦"
赵云,夏侯惇,11,阵营2 胜利,"司空震,大乔,敖隐,夏侯惇,少司缘","达摩,貂蝉,虞姬,赵云,鲁班大师"
赵云,夏侯惇,12,阵营2 胜利,"姬小满,嫦娥,蚩奼,夏侯惇,刘邦","哪吒,海月,狄仁杰,赵云,少司缘"
赵云,夏侯惇,13,阵营2 胜利,"曹操,王昭君,公孙离,赵云,少司缘","老夫子,杨玉环,艾琳,夏侯惇,盾山"
赵云,夏侯惇,14,阵营2 胜利,"曹操,甄姬,蚩奼,赵云,杨玉环","司空震,诸葛亮,孙权,夏侯惇,苏烈"
赵云,夏侯惇,15,阵营1 胜利,"杨戬,沈梦溪,孙尚香,夏侯惇,盾山","关羽,貂蝉,狄仁杰,赵云,元流之子(辅助)"
赵云,夏侯惇,16,阵营1 胜利,"司空震,嫦娥,苍,夏侯惇,少司缘","夏洛特,沈梦溪,元流之子(射手),赵云,大禹"
赵云,夏侯惇,17,阵营1 胜利,"元歌,西施,元流之子(射手),赵云,张飞","哪吒,沈梦溪,戈娅,夏侯惇,元流之子(辅助)"
赵云,夏侯惇,18,阵营1 胜利,"司空震,甄姬,孙尚香,夏侯惇,元流之子(辅助)","老夫子,武则天,公孙离,赵云,少司缘"
赵云,夏侯惇,19,阵营1 胜利,"吕布,嬴政,敖隐,夏侯惇,苏烈","白起,周瑜,苍,赵云,元流之子(坦克)"
赵云,典韦,1,阵营1 胜利,"影,大乔,元流之子(射手),典韦,少司缘","廉颇,女娲,戈娅,赵云,太乙真人"
赵云,典韦,2,阵营2 胜利,"蒙恬,嫦娥,元流之子(射手),赵云,张飞","貂蝉,沈梦溪,戈娅,典韦,赵怀真"
赵云,典韦,3,阵营1 胜利,"老夫子,不知火舞,扁鹊,赵云,张飞","哪吒,女娲,苍,典韦,少司缘"
赵云,典韦,4,阵营1 胜利,"曹操,沈梦溪,元流之子(射手),典韦,项羽","廉颇,海诺,苍,赵云,杨玉环"
赵云,典韦,5,阵营1 胜利,"曹操,沈梦溪,敖隐,典韦,廉颇","影,海月,艾琳,赵云,盾山"
